id;message;sender;jhi_type;create_at
1;Rubber connecting back-end;Small Wooden Gloves Expanded viral;CUSTOMER_LOG;2019-06-04T09:53:26
2;secured line morph;Communications XML;CUSTOMER_LOG;2019-06-04T11:15:17
3;Planner navigating;Cambridgeshire;CUSTOMER_LOG;2019-06-04T14:02:49
4;EXE SMS back-end;orange bypassing Graphic Interface;CUSTOMER_LOG;2019-06-04T06:30:11
5;compelling;North Carolina Creative Connecticut;CUSTOMER_LOG;2019-06-04T11:29:32
6;Personal Loan Account;hacking installation Markets;CUSTOMER_LOG;2019-06-04T19:56:16
7;Associate;parse Cotton;CUSTOMER_LOG;2019-06-04T12:38:01
8;Refined;Electronics Kids;CUSTOMER_LOG;2019-06-04T21:42:34
9;digital Ferry;Cambridgeshire;CUSTOMER_LOG;2019-06-04T19:46:04
10;Soft;attitude-oriented;CUSTOMER_LOG;2019-06-04T21:41:12
