id;aliwangwang;deposit_amount;deposit_ratio;service_fee;service_fee_discount;item_checking;item_wood_crating;shop_id;shop_link;shop_name;shop_note;source_data;total_amount;total_link;total_quantity;final_amount;website;create_at;update_at
1;Borders Manager;81397;23264;61521;22080;false;false;payment navigating;Soft AI Ports;viral;supply-chains hacking;drive Supervisor Inverse;13380;48134;41858;1919;logistical synthesize Concrete;2019-06-04T10:20:04;2019-06-04T08:19:38
2;access;83430;24120;62929;97587;false;true;Program;transform intermediate;Mill compressing;Shoes;Pizza;32467;24347;73735;65171;cross-platform Investment Account;2019-06-04T02:33:09;2019-06-04T12:09:18
3;mobile Direct;95533;10214;78690;65869;false;true;redundant Gorgeous stable;Gorgeous Fresh Cheese Stream withdrawal;e-enable Points;Personal Loan Account;Motorway;88245;15016;10569;73743;Berkshire Aruban Guilder Small Steel Fish;2019-06-04T05:59:24;2019-06-04T07:21:54
4;primary;10536;1210;3557;95650;true;true;web-enabled workforce;Consultant Branding;grey Shirt Awesome;synthesizing Gorgeous Cotton Chair;Sleek;96786;89890;29544;78248;Pre-emptive Coordinator Djibouti Franc;2019-06-04T22:55:53;2019-06-04T20:16:06
5;Money Market Account;77463;6925;64390;95982;true;false;Principal;back-end;Wall;Investment Account;Legacy Slovenia;61649;65647;15663;12809;leading-edge;2019-06-04T00:54:29;2019-06-04T08:49:02
6;Fantastic;37599;43207;55009;43940;false;true;Response;Research;tan TCP invoice;New Taiwan Dollar;SCSI;84651;25843;91892;54401;invoice;2019-06-04T17:52:34;2019-06-04T12:07:44
7;calculating hard drive override;65616;5385;17742;32005;true;true;user-facing Armenia panel;Metal;Licensed Manager Borders;copying;relationships quantify generate;61194;29754;10593;56502;Burundi Franc;2019-06-04T02:13:20;2019-06-04T09:19:47
8;PNG initiatives;16084;46155;55804;933;true;false;circuit Engineer Intelligent;SAS deposit;Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;522;84804;76099;83996;calculating;2019-06-04T22:55:01;2019-06-04T18:19:20
9;Accounts cross-platform pricing structure;14888;84197;30560;47031;true;true;Cotton deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;Bacon evolve;40232;58820;87426;48097;payment Ergonomic Rubber Bike;2019-06-04T09:42:22;2019-06-04T06:18:40
10;Generic Granite Chicken Auto Loan Account;60214;26982;2293;82504;false;false;Rustic Handcrafted Plastic Fish;Developer indigo connecting;portals Wooden;system;Fantastic;22061;6254;59822;80136;parse capacitor model;2019-06-04T19:01:06;2019-06-04T13:04:19
